"filename", "language", "Makefile", "Markdown", "C", "C++", "Assembler file", "Shell Script", "Log", "comment", "blank", "total"
"/home/lyj/os/src/thread/switch.s", "Assembler file", 0, 0, 0, 0, 23, 0, 0, 0, 2, 25
"/home/lyj/os/src/thread/sync.c", "C", 0, 0, 54, 0, 0, 0, 0, 12, 16, 82
"/home/lyj/os/src/thread/sync.h", "C", 0, 0, 21, 0, 0, 0, 0, 8, 5, 34
"/home/lyj/os/src/thread/thread.c", "C", 0, 0, 127, 0, 0, 0, 0, 38, 21, 186
"/home/lyj/os/src/thread/thread.h", "C", 0, 0, 73, 0, 0, 0, 0, 31, 12, 116
"/home/lyj/os/src/userprog/process.c", "C", 0, 0, 78, 0, 0, 0, 0, 23, 9, 110
"/home/lyj/os/src/userprog/process.h", "C", 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"/home/lyj/os/src/userprog/syscall_init.c", "C", 0, 0, 27, 0, 0, 0, 0, 5, 6, 38
"/home/lyj/os/src/userprog/syscall_init.h", "C++", 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
"/home/lyj/os/src/userprog/tss.c", "C", 0, 0, 35, 0, 0, 0, 0, 6, 7, 48
"/home/lyj/os/src/userprog/tss.h", "C++", 0, 0, 0, 35, 0, 0, 0, 1, 7, 43
"/home/lyj/os/tool/readme.md", "Markdown", 0, 6, 0, 0, 0, 0, 0, 0, 5, 11
"/home/lyj/os/tool/xxd.sh", "Shell Script", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"Total", "-", 63, 8, 3666, 148, 698, 1, 1312893, 1303, 843, 1319623
